id,profile_url,name,email,address,phone,whatsapp
1,https://nigeriapropertycentre.com/agents/haap-living-limited-142214,Haap Living Limited,archbassey@gmail.com,"21 Adeyemo Alakija,, Victoria Island, Lagos, Nigeria",08029833268,+2348029833268
3,https://nigeriapropertycentre.com/agents/boilingrealty-properties-limited-146802,Boilingrealty & Properties Limited,info@boilingrealtyandproperties.com,"Hfp Shopping Complex,shop D3481 And D3482 Abraham Adesaya ,101245,, Ajah,, Lagos, Nigeria","07062670247, 09168806967, 0703779788",+2347062670247
5,https://nigeriapropertycentre.com/agents/property-slot-nigeria-ltd-41560,Property Slot Nigeria Ltd,propertyslotnigerialtd@gmail.com,"6, Amos Adesanya Close, Adekunle, Yaba, Lagos, Nigeria","07056845613, 09038671200",+2349038671200
6,https://nigeriapropertycentre.com/agents/sure-international-limited-94256,Sure International Limited,sureproperties.ng@gmail.com,"A-108, 109, 110 Ikota Shopping Complex, Ikota, Lagos, Nigeria","08030558777, 07032329815",+2348030558777
7,https://nigeriapropertycentre.com/agents/worth-properties-22925,Worth Properties,propertiesworth@gmail.com,"Plot 932a Folashade Abike Street, Omole Phase Ii, Lagos, Nigeria","08028383360, 08028383360, 07039126443, 08027164006",+2348028383360
9,https://nigeriapropertycentre.com/agents/kainos-consulting-69227,Kainos Consulting,kainosconsulting05@gmail.com,"11 Taiwo Street,, Ijaiye Ojokoro, Lagos, Nigeria","+2348074293699, +2348124255995, +2348087982355, +2348027226337",+2348074293699
10,https://nigeriapropertycentre.com/agents/aden-shelters-limited-rc-no-1743601-37011,Aden Shelters Limited (rc No: 1743601),adenshelterslimited@gmail.com,"14, Idowu Obisanya Street, Hand Of Fire Bus Stop, Igando Road, Igando, Lagos State, Nigeria",+2348083582024,+2348062298875
13,https://nigeriapropertycentre.com/agents/123-gog-homes-26452,123 GOG Homes,gog.homes1@gmail.com,"8, Azu Odita Street, Atlantic View Estate, Eti Osa, Lagos, Nigeria","09051793930, 08128514145",+2348128514145
14,https://nigeriapropertycentre.com/agents/mrs-real-estate-ltd-27278,Mrs Real Estate Ltd,mrsrealest@yahoo.com,"Plot 20, Ilasan New Road, Off Lekki Express Way, By World Oil Filling Station, Lekki, Lagos, Nigeria","+2348034775201, +2348034775201, +2348023238916",+2348034775201
16,https://nigeriapropertycentre.com/agents/wole-ogungbola-co-2076,Wole Ogungbola & Co,info@woleogungbola.com,"Block 128, Plot 3, Remi Olowude Way, Lekki Phase 1, Lekki, Lagos, Nigeria","07019265443, 07089324349, 08076429968",+2347019265443
17,https://nigeriapropertycentre.com/agents/femic-homes-femic-technical-company-35972,Femic Homes (femic Technical Company),femichomes@gmail.com,"15, Isitol Avenue, Gbinrimi, Agbado, Lagos, Nigeria","2348034936769, 2348122714298",2348034936769
18,https://nigeriapropertycentre.com/agents/stonehenge-facilities-management-limited-1322,Stonehenge Facilities Management Limited,stonehengerealtors@gmail.com,"8 Adelabu Close, Opposite Custom's Training School, Ikeja, Lagos State, Nigeria","+2348053526176, +2348181222230, +2348069703027",+2348053526176
19,https://nigeriapropertycentre.com/agents/jimand-properties-23854,Jimand Properties,jimandpro@gmail.com,"48, Old Ota Road, Oko Filling, Alagbado, Lagos, Nigeria","2348036694728, 08179140040",+2348036694728
20,https://nigeriapropertycentre.com/agents/lansma-properties-ltd-3115,Lansma Properties Ltd,lansmaproperties@yahoo.com,"1, Okeanu Close, Via Ajah/addo Road, Okera-nla, Ajah-lekki, Lagos, Nigeria","+2348033029689, 08023937242, 07055340905, 08091507999",08033029689
21,https://nigeriapropertycentre.com/agents/kamlec-ventures-27075,Kamlec Ventures,kamlecventure@gmail.com,"Ayo Ajileye Street, Oriokuta, Ikorodu, Lagos, Nigeria","+2348023313406, +2348097023057, +2348053883006, +2348145470640",+2348023313406
22,https://nigeriapropertycentre.com/agents/stephen-aims-real-estate-ltd-681,Stephen Aims Real Estate Ltd,stephenspropertiesng@gmail.com,"Saadu Olota, Street 16, Unity Estate. Ajah, Nigerian, Lagos, Nigeria","08023146279, 07065957022",+2348023146279
23,https://nigeriapropertycentre.com/agents/be-men-limited-16449,Be Men Limited,boriowo.dami@gmail.com,"10,muri Bakare Street, Idimu, Alimosho, Lagos, Nigeria",09098200508,+2347054935208
24,https://nigeriapropertycentre.com/agents/monuel-properties-co-32172,Monuel Properties & Co,monuelproperties@yahoo.com,"12, Yinka Arogundade Close, Ajah, Lagos, Nigeria","08096751319, 08035757186, 08096751319, 08068878459",+2348096751319
26,https://nigeriapropertycentre.com/agents/homepro-corporate-realty-limited-140856,Homepro Corporate Realty Limited,Homeprocorporaterealty@gmail.com,"18, Olubondu Street, Ipaja, Lagos, Nigeria","08079519951, 08135556286",08079519951
